pressure_time;pressure_radius;pressure_amplitude;young;density;strength;length;diameter;is_broken
4.540955;2.989353;59.090597;96.632578;1560.721412;5.651564;88.394982;0.128507;1
4.394427;2.617212;158.365861;161.720124;1574.991106;4.949896;86.048913;0.164128;1
6.359174;2.583736;73.991501;165.237599;1427.664499;2.972016;91.202316;0.176719;1
6.978498;1.446847;43.985997;140.707826;1474.596026;3.190915;63.423561;0.179204;0
7.526791;4.011828;74.774184;126.244131;1238.714221;2.407668;85.757921;0.102778;1
1.074225;0.653199;97.659204;142.820411;1308.575684;2.871035;48.556593;0.138988;0
5.514571;2.800677;138.518761;174.553925;1225.293671;3.216712;93.561114;0.155761;1
7.933550;2.767283;44.964396;110.034738;1513.411468;3.634114;65.484111;0.122561;1
9.029274;3.601384;36.359579;156.583721;1437.893599;2.355444;87.223887;0.100697;1
7.980763;3.374017;48.123294;175.834201;1326.487672;4.006468;67.669671;0.133805;1
5.529260;2.622742;110.328947;173.740647;1283.124377;3.453383;49.232650;0.134925;1
4.962076;2.596998;84.542856;120.380823;1340.073857;2.003763;68.006755;0.169448;1
2.658083;3.269175;24.327194;112.324690;1465.651301;5.781590;50.808688;0.184377;0
1.368650;2.921153;54.939413;147.179030;1246.911093;3.576841;97.728199;0.116959;0
2.446614;1.908774;49.148589;85.700076;1393.885907;3.920771;76.796193;0.122005;0
6.585385;0.617051;87.705264;113.434616;1235.069494;3.326057;59.350593;0.156455;1
5.273764;3.519050;156.020192;145.459007;1363.079932;3.944942;44.098976;0.109657;1
4.734493;2.720737;168.732677;104.292604;1464.154098;2.517144;53.338651;0.136225;1
7.090316;0.220180;47.494864;96.772797;1527.574439;5.022785;87.992292;0.168436;0
4.440138;0.234691;88.143727;104.330815;1457.248529;2.620322;97.879282;0.146694;1
9.780128;2.709802;40.142033;115.619052;1261.689006;3.391322;45.293250;0.137920;1
1.220744;3.970099;48.177619;101.315742;1496.982587;4.989311;78.789041;0.128152;0
2.513583;4.408957;35.807832;116.694948;1521.586835;4.647593;81.467465;0.100619;0
2.243256;4.816402;159.417383;137.945241;1545.966291;4.728944;77.416394;0.120656;1
7.404250;2.331377;73.327297;130.355295;1546.506402;3.483357;63.659127;0.172141;1
1.001289;1.900989;95.484589;84.048510;1574.439590;5.302548;57.042072;0.157446;0
8.017992;1.390131;22.374061;176.892486;1495.681747;2.288655;61.806687;0.121462;0
8.444343;0.475043;51.304437;162.924787;1398.989341;2.593135;73.290343;0.178781;0
9.592410;3.035812;84.204569;94.675810;1560.599243;4.846463;91.558343;0.127996;1
1.684129;1.664362;6.025498;114.044525;1472.601289;4.490358;57.952758;0.182482;0
6.646788;4.080085;196.227297;131.641610;1396.426842;3.629409;70.780866;0.125732;1
9.693343;2.666319;108.386997;122.702538;1380.873157;2.780958;64.077051;0.113188;1
6.734020;2.219636;184.414859;86.332607;1280.142779;2.071341;69.252782;0.199043;1
4.472968;3.514584;154.193516;83.807691;1360.658112;2.568637;96.534683;0.169099;1
1.868636;1.774990;2.700452;172.844259;1236.106299;5.557927;61.589951;0.101520;0
5.103509;0.624444;122.295768;170.077748;1549.733502;5.817898;50.326821;0.151844;0
2.215989;4.939100;112.099221;89.941521;1575.525028;5.008753;96.444699;0.154738;1
5.344970;2.024576;107.976907;110.532972;1517.307406;2.206873;44.518605;0.142718;1
8.480461;0.371804;162.042826;92.753884;1242.661612;4.973939;98.456920;0.160337;1
5.373987;4.856179;51.031160;174.780610;1321.985810;2.625849;44.415129;0.158061;0
7.991738;3.120889;12.136550;86.282526;1561.378979;3.725527;82.381202;0.175854;0
1.227893;0.849242;131.162498;132.305528;1232.177138;3.195259;85.802974;0.102985;1
5.295861;3.103087;53.902039;169.939293;1458.734327;5.745894;50.886983;0.179715;0
3.102665;3.240398;173.335498;143.761519;1573.711170;4.093559;52.953302;0.169031;1
4.606526;4.641592;65.260482;80.024801;1243.944352;5.223042;94.648664;0.159563;1
7.808451;2.544826;70.196055;112.479001;1248.101301;5.757107;64.634596;0.135095;1
4.812615;2.153958;115.568853;156.521115;1294.581210;4.338927;90.844714;0.168251;1
8.781890;0.694141;85.457258;122.605225;1378.862249;2.210115;62.387460;0.145908;1
2.520507;3.980554;185.404399;82.574063;1414.904274;4.470354;78.659114;0.105671;1
7.377436;1.179832;11.431439;155.120335;1542.968606;3.671547;56.870650;0.125710;0
7.998959;3.826849;112.010743;85.647007;1442.159589;2.204749;52.373109;0.112241;1
2.673221;1.877053;104.831403;83.366530;1301.859088;5.428311;94.368468;0.169415;1
8.927827;2.933585;85.261839;148.431595;1502.000567;5.741778;77.795716;0.124570;1
7.592576;1.542576;168.172439;148.362882;1346.750044;3.689765;46.521484;0.138244;1
3.855571;3.522242;190.373285;174.063638;1426.578049;2.293557;83.905994;0.170646;1
7.005842;3.750650;161.238307;156.617444;1269.657674;5.214392;62.863491;0.136154;1
4.073947;2.939622;184.229078;91.740358;1339.223892;2.196245;74.581839;0.189581;1
3.891789;4.010757;2.460992;125.039993;1307.972932;2.102744;42.166664;0.175485;0
7.915624;0.995501;175.091089;86.206010;1307.452816;4.805815;85.026652;0.159792;1
5.106497;3.704724;33.221776;106.422574;1478.052937;5.881975;86.950167;0.135368;0
1.001937;1.865391;30.369805;111.116866;1310.821994;2.445454;44.398791;0.114613;0
7.206537;4.722870;21.569309;179.628653;1349.208012;5.530286;52.238761;0.168981;0
8.406310;4.343966;102.261272;168.811079;1545.395374;2.881762;71.446161;0.178777;1
2.105624;3.619750;59.547467;88.490631;1280.367291;3.908715;50.961297;0.137293;0
6.395972;2.281810;158.849190;100.117313;1454.249144;4.103244;64.096201;0.133008;1
5.357548;4.599582;1.038218;114.188141;1491.679404;4.046518;75.288291;0.150709;0
4.609131;0.666168;36.540019;162.471363;1486.319183;3.865431;65.115274;0.149814;0
1.983349;0.742420;21.902533;113.547206;1334.241141;3.402614;69.019415;0.156294;0
3.102135;2.997676;184.038307;94.851801;1590.268753;4.405979;63.422830;0.189923;1
8.935113;0.914615;67.354437;85.748865;1284.404005;2.798802;47.628853;0.179234;1
1.600201;0.887401;160.603058;150.492817;1326.086390;4.529242;85.810815;0.170829;0
8.213665;3.167474;133.990674;102.704883;1423.887219;4.500407;62.203993;0.126940;1
2.319315;4.509046;43.988362;91.975894;1579.097355;3.677017;74.554252;0.124592;0
4.086105;1.582527;151.503790;126.277650;1385.979820;5.752019;40.937607;0.154672;1
4.405118;0.873542;199.257349;140.084968;1461.477577;2.997190;77.887675;0.139009;1
7.193134;0.280724;56.140902;109.390208;1387.085734;5.734012;81.405522;0.167658;0
8.720657;1.479605;120.812768;175.359919;1303.864442;4.048524;89.782389;0.191915;1
2.415179;1.336154;165.255187;91.594740;1336.816039;2.157763;41.827607;0.155275;1
4.677467;1.365211;65.449328;167.048193;1240.155545;4.640905;48.386767;0.187377;0
6.061162;1.269374;116.471688;150.541922;1322.274854;2.735314;88.551181;0.125090;1
2.007524;2.577896;168.691437;88.946038;1369.002055;5.540937;43.941572;0.104261;1
1.206684;1.514535;118.257798;175.557521;1574.928723;4.870922;56.251261;0.119064;0
3.132636;0.715477;174.171801;157.146845;1343.327507;4.945395;81.030893;0.161997;1
4.755851;2.936425;164.833361;167.347377;1288.129639;2.817354;87.578377;0.147455;1
4.096257;1.629021;23.810787;115.348899;1504.844289;4.516723;87.754378;0.120041;0
8.878570;3.781835;147.641435;85.745807;1460.315912;2.474834;91.890833;0.198420;1
5.287311;0.443551;187.752062;170.179147;1339.860114;2.088592;53.899281;0.177157;1
7.103289;4.662441;94.884945;129.929690;1443.324224;3.259204;42.827715;0.152518;1
4.049958;0.488238;125.675420;109.407243;1294.829275;2.631631;95.814734;0.134364;1
9.935082;4.778814;48.271003;135.161952;1222.613068;2.066050;73.274995;0.165836;1
5.495422;3.490141;178.582248;155.523024;1386.816737;4.951764;59.152662;0.190554;1
8.886736;4.193804;25.980485;137.040247;1476.284726;4.633385;86.591428;0.100193;1
8.788302;2.914560;28.797273;136.213145;1388.830376;2.868993;97.590064;0.136542;1
9.900172;4.162401;109.042767;145.943856;1251.037389;3.651857;77.502273;0.101911;1
9.579812;4.449249;62.969188;101.481572;1251.311517;4.183394;92.882533;0.199267;1
4.064683;1.668743;52.614295;122.738444;1583.071560;4.041976;93.010870;0.185374;0
8.328203;4.490190;85.688521;108.681095;1389.815821;4.999126;78.103228;0.190595;1
3.906771;0.880338;135.352293;160.167568;1300.242359;4.471898;75.661608;0.191467;1
9.660815;2.071357;176.489145;109.087469;1267.617653;5.665797;57.658613;0.151932;1
6.374788;2.918577;8.538881;104.861952;1338.672059;2.675950;89.749491;0.172388;0
6.507014;4.641212;191.535726;128.824485;1257.488064;2.341711;47.236723;0.105250;1
3.681757;2.242710;184.234962;152.881558;1388.711662;2.522857;90.428514;0.173106;1
8.238124;1.805687;139.010928;87.223495;1479.842049;5.220394;54.504602;0.196090;1
2.349331;2.476811;181.767716;123.668262;1379.151433;3.812766;41.085838;0.100927;1
